path,name,budget
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Office of Inspector General (15-5-106),[budget] Office of Inspector General (15-5-106),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 106, 'account_name': 'Office of Inspector General', '2019': 36000, '2020': 37000, '2021': 44000, '2022': 53000, '2023': 68000, '2024': 67000, 'name': 'Office of Inspector General', 'id': '15-5-106'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Alcohol and Tobacco Tax and Trade Bureau (15-13),[budget] Alcohol and Tobacco Tax and Trade Bureau (15-13),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 13, 'bureau_name': 'Alcohol and Tobacco Tax and Trade Bureau', '2019': 559000, '2020': 590000, '2021': 640000, '2022': 542000, '2023': 542000, '2024': 556000, 'name': 'Alcohol and Tobacco Tax and Trade Bureau', 'id': '15-13'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Financial Crimes Enforcement Network (15-4),[budget] Financial Crimes Enforcement Network (15-4),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 4, 'bureau_name': 'Financial Crimes Enforcement Network', '2019': 119000, '2020': 120000, '2021': 136000, '2022': 142000, '2023': 202000, '2024': 192000, 'name': 'Financial Crimes Enforcement Network', 'id': '15-4'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Fiscal Service (15-12),[budget] Fiscal Service (15-12),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 12, 'bureau_name': 'Fiscal Service', '2019': 15384000, '2020': 37205000, '2021': 24736000, '2022': 20041000, '2023': 16222000, '2024': 17606000, 'name': 'Fiscal Service', 'id': '15-12'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Internal Revenue Service (15-45),[budget] Internal Revenue Service (15-45),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 45, 'bureau_name': 'Internal Revenue Service', '2019': 166003000, '2020': 448970000, '2021': 817463000, '2022': 352121000, '2023': 228729000, '2024': 456971000, 'name': 'Internal Revenue Service', 'id': '15-45'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Internal Revenue Service (15-45)/[budget] Private Collection Agent Program (15-45-5510),[budget] Private Collection Agent Program (15-45-5510),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 45, 'bureau_name': 'Internal Revenue Service', 'account_code': 5510, 'account_name': 'Private Collection Agent Program', '2019': 58000, '2020': 93000, '2021': 140000, '2022': 108000, '2023': 152000, '2024': 154000, 'name': 'Private Collection Agent Program', 'id': '15-45-5510'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (17),[budget] Social Security Administration (17),"{'budget_level': 'agency', 'agency_code': 17, 'agency_name': 'Social Security Administration', '2019': 1008279000, '2020': 1055923000, '2021': 1099724000, '2022': 1170139000, '2023': 1300798000, '2024': 1408433000, 'name': 'Social Security Administration', 'id': '17'}"
/US FEDERAL GOVERNMENT/[budget] Social Security Administration (17)/[budget] Social Security Administration (17-0),[budget] Social Security Administration (17-0),"{'budget_level': 'bureau', 'agency_code': 17, 'agency_name': 'Social Security Administration', 'bureau_code': 0, 'bureau_name': 'Social Security Administration', '2019': 1008279000, '2020': 1055923000, '2021': 1099724000, '2022': 1170139000, '2023': 1300798000, '2024': 1408433000, 'name': 'Social Security Administration', 'id': '17-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Labor Relations Authority (365),[budget] Federal Labor Relations Authority (365),"{'budget_level': 'agency', 'agency_code': 365, 'agency_name': 'Federal Labor Relations Authority', '2019': 24000, '2020': 24000, '2021': 28000, '2022': 27000, '2023': 28000, '2024': 34000, 'name': 'Federal Labor Relations Authority', 'id': '365'}"
/US FEDERAL GOVERNMENT/[budget] Federal Labor Relations Authority (365)/[budget] Federal Labor Relations Authority (365-0),[budget] Federal Labor Relations Authority (365-0),"{'budget_level': 'bureau', 'agency_code': 365, 'agency_name': 'Federal Labor Relations Authority', 'bureau_code': 0, 'bureau_name': 'Federal Labor Relations Authority', '2019': 24000, '2020': 24000, '2021': 28000, '2022': 27000, '2023': 28000, '2024': 34000, 'name': 'Federal Labor Relations Authority', 'id': '365-0'}"
/US FEDERAL GOVERNMENT/[budget] Presidio Trust (512),[budget] Presidio Trust (512),"{'budget_level': 'agency', 'agency_code': 512, 'agency_name': 'Presidio Trust', '2019': -70000, '2020': 11000, '2021': -1000, '2022': 15000, '2023': 80000, '2024': 86000, 'name': 'Presidio Trust', 'id': '512'}"
/US FEDERAL GOVERNMENT/[budget] Presidio Trust (512)/[budget] Presidio Trust (512-0),[budget] Presidio Trust (512-0),"{'budget_level': 'bureau', 'agency_code': 512, 'agency_name': 'Presidio Trust', 'bureau_code': 0, 'bureau_name': 'Presidio Trust', '2019': -70000, '2020': 11000, '2021': -1000, '2022': 15000, '2023': 80000, '2024': 86000, 'name': 'Presidio Trust', 'id': '512-0'}"
/US FEDERAL GOVERNMENT/[budget] Southeast Crescent Regional Commission (574),[budget] Southeast Crescent Regional Commission (574),"{'budget_level': 'agency', 'agency_code': 574, 'agency_name': 'Southeast Crescent Regional Commission', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 2000, '2024': 6000, 'name': 'Southeast Crescent Regional Commission', 'id': '574'}"
/US FEDERAL GOVERNMENT/[budget] Southeast Crescent Regional Commission (574)/[budget] Southeast Crescent Regional Commission (574-0),[budget] Southeast Crescent Regional Commission (574-0),"{'budget_level': 'bureau', 'agency_code': 574, 'agency_name': 'Southeast Crescent Regional Commission', 'bureau_code': 0, 'bureau_name': 'Southeast Crescent Regional Commission', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 2000, '2024': 6000, 'name': 'Southeast Crescent Regional Commission', 'id': '574-0'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21),[budget] Department of Transportation (21),"{'budget_level': 'agency', 'agency_code': 21, 'agency_name': 'Department of Transportation', '2019': 80721000, '2020': 100340000, '2021': 104939000, '2022': 113787000, '2023': 115023000, '2024': 125415000, 'name': 'Department of Transportation', 'id': '21'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4),[budget] Office of the Secretary (21-4),"{'budget_level': 'bureau', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', '2019': 896000, '2020': 1185000, '2021': 2551000, '2022': 2244000, '2023': 2547000, '2024': 2701000, 'name': 'Office of the Secretary', 'id': '21-4'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] Transportation Demonstration Program (21-4-1731),[budget] Transportation Demonstration Program (21-4-1731),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 1731, 'account_name': 'Transportation Demonstration Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 20000, '2024': 26000, 'name': 'Transportation Demonstration Program', 'id': '21-4-1731'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] National Culvert Removal, Replacement, and Restoration Grant Program (21-4-1733)","[budget] National Culvert Removal, Replacement, and Restoration Grant Program (21-4-1733)","{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 1733, 'account_name': 'National Culvert Removal, Replacement, and Restoration Grant Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 3000, '2024': 30000, 'name': 'National Culvert Removal, Replacement, and Restoration Grant Program', 'id': '21-4-1733'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] Aviation Manufacturing Jobs Protection Program (21-4-110),[budget] Aviation Manufacturing Jobs Protection Program (21-4-110),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 110, 'account_name': 'Aviation Manufacturing Jobs Protection Program', '2019': 0, '2020': 0, '2021': 188000, '2022': 302000, '2023': 224000, '2024': 14000, 'name': 'Aviation Manufacturing Jobs Protection Program', 'id': '21-4-110'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] TIFIA Highway Trust Fund Program (21-4-8634),[budget] TIFIA Highway Trust Fund Program (21-4-8634),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 8634, 'account_name': 'TIFIA Highway Trust Fund Program', '2019': 3000, '2020': 152000, '2021': 1063000, '2022': 644000, '2023': 281000, '2024': 36000, 'name': 'TIFIA Highway Trust Fund Program', 'id': '21-4-8634'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] Office of Civil Rights (21-4-118),[budget] Office of Civil Rights (21-4-118),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 118, 'account_name': 'Office of Civil Rights', '2019': 8000, '2020': 9000, '2021': 9000, '2022': 9000, '2023': 14000, '2024': 29000, 'name': 'Office of Civil Rights', 'id': '21-4-118'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Office of the Secretary (21-4)/[budget] Strengthening Mobility and Revolutionizing Transportation Grant Program (21-4-1734),[budget] Strengthening Mobility and Revolutionizing Transportation Grant Program (21-4-1734),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 4, 'bureau_name': 'Office of the Secretary', 'account_code': 1734, 'account_name': 'Strengthening Mobility and Revolutionizing Transportation Grant Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 5000, '2024': 23000, 'name': 'Strengthening Mobility and Revolutionizing Transportation Grant Program', 'id': '21-4-1734'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Pipeline and Hazardous Materials Safety Administration (21-50),[budget] Pipeline and Hazardous Materials Safety Administration (21-50),"{'budget_level': 'bureau', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 50, 'bureau_name': 'Pipeline and Hazardous Materials Safety Administration', '2019': 257000, '2020': 272000, '2021': 270000, '2022': 280000, '2023': 316000, '2024': 442000, 'name': 'Pipeline and Hazardous Materials Safety Administration', 'id': '21-50'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Pipeline and Hazardous Materials Safety Administration (21-50)/[budget] Natural Gas Distribution Infrastructure Safety and Modernization Grant Program (21-50-1402),[budget] Natural Gas Distribution Infrastructure Safety and Modernization Grant Program (21-50-1402),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 50, 'bureau_name': 'Pipeline and Hazardous Materials Safety Administration', 'account_code': 1402, 'account_name': 'Natural Gas Distribution Infrastructure Safety and Modernization Grant Program', '2019': 0, '2020': 0, '2021': 0, '2022': 1000, '2023': 11000, '2024': 28000, 'name': 'Natural Gas Distribution Infrastructure Safety and Modernization Grant Program', 'id': '21-50-1402'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Federal Motor Carrier Safety Administration (21-17),[budget] Federal Motor Carrier Safety Administration (21-17),"{'budget_level': 'bureau', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 17, 'bureau_name': 'Federal Motor Carrier Safety Administration', '2019': 585000, '2020': 617000, '2021': 567000, '2022': 703000, '2023': 981000, '2024': 1118000, 'name': 'Federal Motor Carrier Safety Administration', 'id': '21-17'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Federal Transit Administration (21-36),[budget] Federal Transit Administration (21-36),"{'budget_level': 'bureau', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 36, 'bureau_name': 'Federal Transit Administration', '2019': 13371000, '2020': 25375000, '2021': 24371000, '2022': 34077000, '2023': 20315000, '2024': 20105000, 'name': 'Federal Transit Administration', 'id': '21-36'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Federal Transit Administration (21-36)/[budget] Electric or Low-Emitting Ferry Program (21-36-1144),[budget] Electric or Low-Emitting Ferry Program (21-36-1144),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 36, 'bureau_name': 'Federal Transit Administration', 'account_code': 1144, 'account_name': 'Electric or Low-Emitting Ferry Program', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 1000, '2024': 6000, 'name': 'Electric or Low-Emitting Ferry Program', 'id': '21-36-1144'}"
/US FEDERAL GOVERNMENT/[budget] Department of Transportation (21)/[budget] Federal Transit Administration (21-36)/[budget] Public Transportation Emergency Relief Program (21-36-1140),[budget] Public Transportation Emergency Relief Program (21-36-1140),"{'budget_level': 'account', 'agency_code': 21, 'agency_name': 'Department of Transportation', 'bureau_code': 36, 'bureau_name': 'Federal Transit Administration', 'account_code': 1140, 'account_name': 'Public Transportation Emergency Relief Program', '2019': 615000, '2020': 802000, '2021': 874000, '2022': 533000, '2023': 792000, '2024': 728000, 'name': 'Public Transportation Emergency Relief Program', 'id': '21-36-1140'}"
